rainfall_mm,temperature_c,humidity_pct,wind_speed_kmh,disaster_type
162.2,30.4,83.3,66.0,Landslide
30.2,25.5,89.6,5.4,Normal
70.9,26.5,81.9,50.2,Normal
130.4,25.3,97.8,35.4,Flood
82.8,24.2,58.2,102.6,Cyclone
111.1,33.3,31.6,31.8,Normal
21.2,31.8,63.3,14.8,Normal
71.1,32.9,78.4,9.0,Flood
46.1,29.2,72.3,36.1,Normal
47.7,32.1,74.1,41.1,Normal
153.3,22.0,89.8,30.3,Flood
48.3,32.5,75.7,67.0,Normal
72.8,29.7,82.0,86.0,Cyclone
9.5,31.5,55.9,27.3,Normal
176.4,30.5,53.6,6.6,Flood
106.7,25.1,94.2,44.1,Landslide
55.6,23.0,71.5,77.4,Cyclone
44.5,26.2,60.7,27.4,Normal
88.8,31.3,60.7,52.1,Normal
129.3,31.8,60.3,13.8,Landslide
177.9,23.5,59.4,43.4,Landslide
104.3,25.1,50.8,52.8,Normal
61.4,26.1,47.5,44.2,Normal
115.4,27.6,67.1,120.5,Cyclone
101.3,23.6,61.1,91.8,Cyclone
61.6,23.3,86.6,58.8,Cyclone
99.3,25.7,74.4,72.6,Cyclone
98.0,29.3,74.0,43.1,Flood
55.4,24.3,58.9,34.2,Normal
37.9,28.5,68.2,25.2,Normal
92.1,33.2,75.4,13.5,Landslide
23.5,23.8,80.7,94.6,Cyclone
18.8,28.2,68.6,123.5,Cyclone
73.6,33.1,86.2,36.7,Landslide
90.4,27.3,70.1,37.2,Normal
73.2,26.7,81.9,54.3,Normal
79.1,33.7,62.7,31.9,Landslide
89.3,27.8,42.8,15.2,Normal
153.7,33.4,74.0,11.3,Landslide
105.6,30.7,80.9,120.7,Cyclone
103.4,27.6,78.6,7.6,Flood
69.5,30.9,76.3,45.4,Landslide
71.4,30.3,64.8,8.7,Landslide
51.9,33.1,57.9,33.1,Normal
77.4,26.8,78.3,27.2,Flood
22.4,29.2,76.4,10.2,Normal
154.1,28.8,61.6,55.7,Flood
28.5,31.8,86.6,14.2,Normal
105.4,24.9,56.8,8.9,Normal
141.3,33.1,61.2,59.9,Flood
105.2,30.9,94.5,27.3,Landslide
239.4,23.7,83.0,19.2,Flood
6.6,33.8,64.6,62.5,Normal
40.0,37.9,74.3,13.6,Normal
139.8,33.0,72.3,6.8,Landslide
18.1,34.7,28.8,82.2,Cyclone
29.3,29.3,56.4,109.9,Cyclone
85.4,22.4,69.2,32.4,Landslide
60.8,21.6,64.7,32.1,Normal
81.7,30.0,73.7,65.0,Cyclone
64.8,26.6,86.9,76.8,Cyclone
69.3,25.3,65.2,15.0,Normal
31.9,28.7,54.1,28.4,Normal
67.7,31.5,74.9,42.9,Landslide
42.3,23.2,65.1,62.4,Normal
47.1,27.2,67.7,57.9,Landslide
104.4,35.0,65.6,51.6,Flood
17.2,24.7,100.0,76.7,Landslide
3.7,32.5,36.4,34.2,Normal
99.2,27.1,64.2,95.2,Cyclone
67.7,31.2,69.9,22.9,Normal
141.2,33.4,58.3,58.6,Flood
30.0,32.0,83.5,25.7,Normal
54.0,32.6,82.2,32.8,Landslide
62.6,24.4,69.3,36.8,Normal
35.4,33.5,65.9,24.5,Normal
26.7,25.6,68.3,78.9,Cyclone
102.7,30.0,68.4,26.7,Flood
15.5,30.0,68.8,35.4,Normal
22.8,30.9,67.2,53.9,Normal
52.6,30.3,73.8,155.2,Cyclone
111.1,25.6,81.3,55.3,Flood
37.4,23.6,51.5,37.7,Normal
33.5,32.5,54.2,5.6,Normal
50.2,29.7,43.8,32.1,Normal
76.3,33.6,83.0,21.2,Landslide
44.2,28.8,73.8,28.1,Landslide
121.1,23.4,77.6,25.3,Landslide
124.6,32.9,48.6,53.5,Flood
52.6,27.5,96.8,31.6,Landslide
198.4,30.4,60.9,17.2,Flood
61.5,26.4,72.5,66.8,Landslide
121.7,35.6,82.8,12.3,Flood
74.7,25.5,55.2,36.5,Landslide
73.7,27.7,61.8,32.3,Landslide
12.0,29.4,72.7,46.4,Normal
21.0,24.6,100.0,77.2,Normal
46.1,30.3,74.5,170.5,Cyclone
123.9,35.4,94.1,37.7,Flood
75.5,27.0,88.1,20.9,Landslide
46.4,30.6,75.5,19.3,Normal
91.0,18.0,55.2,19.2,Normal
120.8,28.8,85.9,45.2,Landslide
58.6,27.7,47.5,4.2,Normal
69.0,25.7,94.0,11.6,Landslide
62.6,33.3,73.0,45.2,Normal
55.8,27.7,30.2,69.1,Normal
29.7,28.3,64.9,69.4,Cyclone
27.7,27.5,79.8,39.0,Normal
90.6,21.3,66.4,63.2,Cyclone
122.4,24.5,80.7,78.1,Cyclone
46.3,32.8,57.2,26.4,Normal
45.5,20.6,50.4,72.8,Cyclone
8.5,25.9,68.9,8.2,Normal
6.7,27.4,70.5,11.3,Normal
144.2,36.0,64.8,27.6,Landslide
31.5,32.1,88.4,7.1,Normal
250.3,26.8,57.2,54.1,Flood
36.5,34.2,74.7,23.3,Normal
12.4,26.0,71.0,32.6,Normal
62.9,33.0,46.6,33.5,Normal
101.9,23.6,50.2,27.1,Normal
94.0,33.3,70.2,19.1,Normal
109.0,27.4,99.7,52.3,Flood
24.6,24.9,78.7,22.9,Normal
141.9,28.1,44.1,33.1,Flood
147.5,30.1,23.3,46.7,Flood
151.9,27.0,81.0,77.7,Flood
70.8,31.2,68.6,73.6,Normal
43.5,26.7,87.1,24.6,Normal
40.3,31.5,56.8,18.2,Normal
12.3,30.8,75.3,88.4,Cyclone
37.2,28.8,82.7,22.8,Normal
3.2,27.2,63.3,50.9,Normal
10.5,29.6,63.6,6.7,Normal
70.3,31.2,70.4,4.1,Normal
47.6,37.2,78.1,37.7,Normal
68.0,32.8,69.8,29.8,Normal
96.5,32.9,84.6,60.2,Flood
77.5,41.4,63.1,19.3,Landslide
72.8,31.1,50.1,44.2,Normal
54.5,30.9,99.7,58.0,Landslide
30.5,31.8,60.9,19.9,Normal
18.2,25.0,61.5,27.6,Normal
38.1,27.2,69.0,13.5,Normal
55.2,27.0,71.0,61.7,Normal
60.7,31.6,64.2,52.8,Normal
109.2,28.3,69.7,55.6,Landslide
51.4,29.6,69.4,29.7,Normal
86.8,33.3,72.6,52.2,Landslide
14.3,32.5,34.6,31.8,Normal
71.0,28.4,98.2,98.4,Cyclone
67.3,26.3,67.8,35.5,Normal
141.9,33.5,78.7,70.7,Landslide
47.7,32.1,49.3,29.8,Normal
46.0,22.6,62.9,85.0,Cyclone
96.9,27.7,59.9,18.2,Flood
19.7,29.7,92.0,48.3,Normal
69.6,32.1,61.2,21.4,Normal
18.7,32.6,81.4,42.9,Landslide
185.4,30.1,60.2,22.9,Flood
41.2,31.3,63.2,35.4,Normal
17.5,29.3,66.3,25.7,Normal
37.8,26.3,89.3,56.6,Normal
69.9,28.0,41.7,49.7,Normal
84.9,29.1,50.3,20.7,Normal
136.9,28.9,40.8,20.2,Flood
34.0,21.5,53.7,16.9,Normal
100.0,27.4,57.8,14.1,Normal
10.5,29.2,45.8,59.3,Normal
23.0,27.9,59.0,16.1,Normal
14.8,28.0,39.8,45.5,Normal
29.0,31.0,54.7,24.0,Normal
96.9,24.7,88.0,69.4,Flood
34.8,22.5,76.1,114.3,Cyclone
40.6,27.6,72.8,0.9,Normal
71.3,32.1,55.0,18.0,Normal
82.3,35.8,47.0,23.7,Normal
41.6,32.1,52.9,30.5,Normal
22.8,23.1,69.4,29.1,Normal
165.6,28.1,83.0,11.2,Flood
41.9,30.0,83.5,115.8,Cyclone
45.4,29.7,79.5,29.9,Landslide
50.2,31.2,58.9,49.6,Normal
88.6,25.3,70.4,50.7,Landslide
13.5,29.3,65.2,8.8,Normal
208.9,30.7,67.0,26.9,Flood
44.4,32.3,100.0,59.3,Landslide
90.8,25.8,43.6,88.7,Cyclone
17.7,27.6,66.5,27.3,Normal
66.1,18.2,88.2,10.6,Flood
188.0,26.5,48.0,22.1,Flood
170.8,26.9,60.3,26.4,Landslide
89.1,24.9,62.1,25.6,Normal
27.2,29.7,66.7,16.9,Normal
132.1,28.8,46.1,9.5,Landslide
10.4,20.0,78.9,13.4,Normal
26.3,29.9,80.0,22.2,Landslide
54.7,25.3,77.6,58.6,Normal
11.5,30.9,56.9,74.5,Normal
37.8,23.9,71.3,38.3,Normal
101.5,29.1,56.5,13.7,Normal
31.7,27.9,65.0,23.3,Normal
104.8,30.2,100.0,4.3,Landslide
245.8,29.5,71.4,89.8,Flood
77.7,28.0,52.2,20.4,Normal
103.6,22.9,72.7,46.7,Landslide
135.1,23.1,49.7,71.0,Cyclone
40.8,26.7,52.0,106.5,Cyclone
101.9,29.0,54.4,63.1,Cyclone
40.0,26.6,63.3,25.5,Normal
73.7,31.5,84.1,51.2,Flood
112.8,27.9,78.7,103.9,Cyclone
28.4,25.1,77.8,20.2,Normal
3.8,27.9,53.5,9.0,Normal
26.0,29.9,61.9,17.0,Normal
124.5,30.3,74.1,48.8,Landslide
23.1,36.5,60.6,26.0,Normal
119.7,26.3,65.8,32.9,Landslide
26.1,28.7,76.6,54.7,Normal
48.9,30.7,64.8,16.7,Normal
57.7,28.9,73.4,31.7,Landslide
22.9,27.0,93.9,22.9,Normal
49.3,22.8,67.4,101.2,Cyclone
12.4,27.0,87.7,61.8,Normal
43.9,24.7,78.4,26.2,Normal
54.1,22.1,48.0,25.0,Normal
4.1,25.8,53.5,108.8,Cyclone
25.8,24.8,57.5,103.0,Cyclone
72.1,31.3,57.2,48.6,Normal
20.5,31.4,68.6,34.1,Normal
81.0,25.4,79.2,11.4,Landslide
86.8,28.0,88.8,17.1,Landslide
71.8,21.6,74.6,10.5,Normal
101.0,27.0,63.3,72.9,Flood
11.5,30.6,38.8,11.5,Normal
116.3,32.3,71.1,24.7,Landslide
23.3,26.1,70.4,5.4,Normal
62.9,33.2,72.7,8.1,Normal
183.1,22.9,100.0,56.5,Flood
43.1,24.0,88.6,43.4,Normal
58.9,31.8,81.8,35.0,Landslide
23.4,35.7,55.6,25.1,Normal
181.9,31.0,62.3,7.0,Landslide
25.8,28.8,68.6,22.5,Normal
92.3,20.2,58.4,30.3,Normal
135.0,20.9,77.5,53.8,Flood
98.6,29.5,75.4,70.2,Cyclone
75.1,27.6,53.7,57.7,Normal
62.2,24.6,88.0,43.2,Landslide
17.5,29.3,71.5,34.6,Normal
176.5,29.5,44.1,40.1,Flood
70.6,32.8,69.2,21.2,Normal
58.9,29.5,74.2,36.9,Landslide
21.6,33.9,84.6,30.1,Normal
61.1,29.0,64.9,138.0,Cyclone
56.1,28.5,82.4,40.9,Normal
183.1,33.3,72.8,3.9,Flood
58.9,25.1,50.3,24.1,Normal
60.4,40.3,48.8,27.6,Normal
21.8,30.5,86.8,63.2,Cyclone
30.7,30.5,87.9,44.8,Normal
84.6,31.1,74.8,43.1,Landslide
9.1,36.5,92.4,83.3,Cyclone
115.9,32.2,85.8,103.3,Cyclone
118.0,22.6,80.3,56.4,Landslide
27.9,34.6,56.3,25.6,Normal
75.3,27.6,96.0,26.2,Landslide
138.0,29.4,78.0,76.3,Flood
52.6,23.9,64.2,26.1,Normal
45.1,31.1,60.0,32.9,Normal
49.7,26.4,73.9,23.6,Normal
70.5,29.4,44.9,13.5,Normal
34.3,27.9,80.5,131.0,Cyclone
42.0,36.7,55.7,33.1,Normal
71.6,36.9,75.6,91.3,Cyclone
39.2,29.2,62.2,26.4,Normal
20.0,29.3,66.0,20.4,Normal
8.2,27.5,58.6,53.1,Normal
59.7,33.4,67.6,70.0,Normal
132.2,27.7,98.3,73.1,Landslide
78.1,27.3,90.8,29.9,Landslide
20.8,32.9,75.3,57.1,Normal
30.5,26.8,69.6,22.3,Normal
44.8,28.8,82.7,36.6,Landslide
187.0,22.7,86.9,27.7,Flood
193.7,31.8,57.6,24.5,Flood
178.9,36.8,68.8,37.7,Flood
64.5,31.9,42.7,13.2,Normal
352.1,34.8,86.8,66.2,Flood
31.9,25.6,100.0,24.6,Landslide
43.5,29.9,71.2,64.0,Normal
109.8,25.2,38.1,15.8,Normal
71.8,28.1,79.1,24.5,Landslide
74.9,32.1,56.4,13.1,Normal
24.3,29.4,60.0,12.7,Normal
55.7,23.3,79.4,17.8,Normal
32.3,23.7,73.8,16.1,Normal
16.3,23.5,62.7,13.2,Normal
35.7,31.0,60.3,34.7,Normal
71.9,37.3,71.9,52.4,Landslide
97.6,34.4,63.9,54.3,Normal
7.8,21.4,53.4,6.5,Normal
57.8,34.7,65.0,27.6,Normal
53.8,32.7,75.1,25.5,Landslide
69.1,22.8,67.3,84.3,Cyclone
21.2,27.8,48.8,28.4,Normal
21.6,33.4,84.8,32.6,Normal
134.6,31.2,28.9,9.2,Normal
28.2,23.8,63.3,17.4,Normal
41.8,31.4,60.7,8.7,Normal
45.4,20.4,72.2,36.4,Normal
32.8,28.1,78.4,86.1,Cyclone
82.8,33.6,86.9,17.9,Landslide
77.8,29.1,59.3,28.6,Normal
51.9,27.0,78.8,16.2,Landslide
34.5,32.6,72.9,20.8,Normal
48.7,32.9,44.3,37.0,Normal
61.6,34.2,98.5,113.6,Cyclone
30.5,32.5,48.4,83.3,Cyclone
87.2,33.3,76.3,99.8,Cyclone
115.3,31.9,75.8,64.4,Landslide
150.3,30.1,74.1,28.3,Flood
144.2,29.4,62.6,25.3,Flood
45.1,28.1,82.4,18.0,Normal
63.9,24.2,46.6,28.0,Normal
51.1,25.2,69.0,86.9,Cyclone
51.0,27.9,61.5,86.3,Cyclone
48.5,30.0,59.8,141.5,Cyclone
58.6,34.8,76.4,39.0,Normal
128.4,28.8,86.2,11.3,Flood
73.5,33.0,64.9,50.0,Normal
20.3,33.3,81.7,114.4,Cyclone
112.0,28.1,70.7,94.6,Cyclone
68.4,31.4,56.6,23.1,Normal
83.4,28.0,66.1,12.4,Normal
72.4,34.3,65.5,12.1,Normal
74.9,31.5,59.6,19.0,Normal
77.4,24.2,76.4,21.5,Normal
10.0,29.6,73.5,26.7,Normal
82.7,35.6,46.1,54.7,Landslide
31.7,28.3,45.2,26.0,Normal
39.1,30.8,76.4,35.3,Normal
58.2,31.2,57.8,8.1,Normal
166.1,24.9,74.5,18.0,Flood
23.8,31.0,81.7,17.3,Normal
56.7,23.4,50.9,6.7,Normal
47.5,26.5,48.8,25.4,Normal
110.9,33.3,95.1,8.1,Landslide
46.5,30.4,75.3,24.0,Normal
69.0,27.8,63.7,37.4,Normal
23.8,30.8,56.0,87.9,Cyclone
123.8,28.8,62.3,16.5,Flood
14.9,29.1,52.1,36.6,Normal
81.9,31.6,83.3,20.1,Landslide
69.3,26.1,58.3,7.7,Normal
76.9,29.2,86.4,88.6,Landslide
15.1,27.8,64.0,38.7,Normal
45.7,22.7,54.3,48.2,Normal
107.2,25.3,63.6,98.3,Cyclone
182.8,35.3,30.6,23.9,Flood
53.5,30.5,68.2,10.8,Normal
100.3,23.7,67.4,16.3,Normal
64.4,22.8,82.4,9.9,Landslide
55.7,28.6,41.7,72.7,Cyclone
41.5,35.2,87.4,117.3,Cyclone
58.5,28.3,82.3,37.1,Landslide
94.2,34.2,88.8,55.8,Landslide
99.6,30.4,69.2,66.3,Cyclone
18.4,30.9,85.2,102.6,Cyclone
38.5,23.7,47.9,114.1,Cyclone
22.7,32.8,80.7,5.1,Normal
60.7,27.7,58.4,20.6,Normal
44.4,32.5,45.2,34.0,Normal
75.1,25.7,53.1,18.5,Normal
78.9,29.7,70.1,27.2,Normal
4.9,30.4,57.6,46.0,Normal
58.1,28.4,75.6,45.1,Normal
130.1,30.6,42.9,64.8,Landslide
38.5,27.9,38.1,34.6,Normal
37.6,26.4,90.6,2.3,Landslide
115.2,35.4,83.6,25.4,Flood
102.8,33.2,54.3,42.8,Flood
25.0,26.0,70.0,68.0,Cyclone
95.9,31.3,85.3,61.4,Landslide
30.2,26.0,76.3,31.1,Landslide
37.3,24.3,72.2,19.5,Normal
24.9,33.1,86.4,32.3,Landslide
18.3,22.2,59.0,6.0,Normal
63.4,32.7,70.5,21.1,Landslide
15.6,28.0,69.7,76.7,Cyclone
65.4,28.2,65.9,32.2,Normal
63.8,30.6,64.2,44.1,Normal
51.7,31.3,71.1,9.4,Landslide
40.0,25.7,70.5,67.7,Normal
33.8,31.9,54.3,29.9,Normal
22.1,29.5,82.0,43.1,Normal
151.0,24.0,55.4,50.0,Landslide
49.9,28.3,66.7,66.0,Normal
48.6,34.5,65.6,38.4,Normal
26.0,35.7,75.4,30.5,Normal
140.5,31.9,38.2,11.7,Landslide
35.6,24.2,83.4,8.6,Normal
70.1,31.0,59.8,37.8,Normal
80.1,32.4,88.3,43.3,Landslide
63.5,31.9,62.8,48.5,Landslide
15.2,32.1,69.3,16.6,Normal
93.1,30.5,98.7,21.3,Landslide
35.3,28.7,65.8,37.3,Normal
102.1,26.6,88.6,23.6,Flood
55.4,21.4,70.6,149.1,Cyclone
83.7,30.4,76.2,20.9,Normal
134.4,29.7,71.0,45.4,Flood
90.7,31.2,82.7,60.2,Landslide
85.1,23.6,59.7,62.7,Landslide
96.1,31.6,55.2,23.2,Flood
29.3,37.2,60.4,50.2,Normal
105.1,29.3,71.5,45.9,Flood
46.9,28.8,66.7,51.7,Normal
48.1,30.2,80.7,36.9,Normal
62.0,37.1,89.6,60.5,Normal
43.5,24.9,55.4,40.3,Normal
24.1,29.8,59.0,10.3,Normal
58.5,25.8,48.5,39.4,Normal
48.3,26.8,100.0,42.8,Landslide
47.0,28.8,74.6,57.6,Normal
54.0,34.4,77.2,37.8,Landslide
5.6,36.2,49.9,104.2,Cyclone
47.2,30.8,70.0,31.3,Normal
145.7,27.5,77.6,22.2,Flood
138.1,39.0,66.2,83.5,Cyclone
60.0,27.3,86.1,30.6,Landslide
58.5,26.7,100.0,35.3,Landslide
3.8,21.9,55.8,42.8,Normal
37.1,34.6,54.7,40.3,Normal
95.4,32.9,56.8,51.5,Normal
42.6,38.7,94.1,55.2,Normal
118.4,23.4,85.6,20.6,Flood
113.5,34.8,68.0,12.6,Flood
36.5,29.3,70.5,14.1,Normal
63.5,32.2,57.8,77.4,Cyclone
153.4,22.4,83.4,28.7,Flood
14.9,34.9,64.3,59.8,Normal
43.4,32.1,66.1,56.3,Normal
13.3,28.8,79.1,35.3,Normal
27.4,31.6,67.2,16.4,Normal
183.5,25.9,66.5,57.2,Flood
43.4,26.7,70.2,34.4,Normal
7.6,27.1,81.9,11.9,Normal
23.9,21.6,94.7,23.7,Normal
11.8,32.4,78.8,7.9,Normal
65.3,33.8,82.0,24.6,Normal
79.3,26.2,67.0,36.6,Normal
106.1,30.4,59.4,31.7,Landslide
91.9,27.9,79.8,28.8,Flood
15.6,30.3,72.6,36.4,Normal
76.4,26.5,48.7,49.3,Normal
52.2,25.5,65.1,63.1,Normal
116.7,33.2,68.8,69.0,Cyclone
99.2,28.7,62.3,18.7,Landslide
199.3,37.1,92.2,73.6,Flood
25.7,29.2,77.2,34.4,Normal
22.4,25.3,90.6,26.4,Landslide
39.0,33.9,74.0,14.4,Normal
53.8,31.5,71.2,46.9,Normal
32.9,31.9,56.0,45.6,Normal
26.9,33.8,70.2,22.0,Normal
72.8,26.4,70.2,22.5,Flood
38.9,28.5,49.5,30.8,Normal
31.7,28.3,61.9,26.0,Normal
15.6,23.8,65.2,18.0,Normal
4.3,27.9,76.2,13.0,Normal
141.0,34.3,76.9,74.2,Cyclone
138.2,29.9,61.3,23.6,Flood
101.3,23.6,77.0,45.4,Flood
85.4,22.8,67.3,51.9,Flood
36.0,35.7,27.0,47.1,Normal
87.8,28.6,62.7,53.9,Normal
20.9,26.4,86.2,46.7,Landslide
62.3,27.9,44.8,20.3,Normal
29.4,23.1,71.7,27.2,Normal
88.1,34.7,93.8,72.8,Landslide
160.3,27.4,58.6,23.1,Landslide
23.8,34.5,70.0,34.4,Normal
37.5,29.2,50.4,49.4,Normal
61.5,34.7,94.4,91.0,Cyclone
8.8,30.0,68.8,68.5,Normal
12.4,32.4,70.7,15.8,Normal
157.2,31.9,90.3,44.4,Landslide
73.1,31.5,79.9,40.8,Landslide
34.3,30.4,56.9,27.4,Normal
56.6,28.1,60.3,35.2,Normal
39.1,36.7,77.4,20.1,Normal
62.8,25.4,60.6,30.4,Normal
40.4,29.0,38.2,23.2,Normal
53.3,29.1,69.2,37.2,Landslide
93.7,30.6,47.8,26.6,Flood
89.5,27.3,94.2,95.6,Landslide
151.4,30.3,72.7,38.1,Landslide
76.9,28.3,56.4,32.9,Normal
59.4,22.7,59.5,29.1,Normal
166.4,29.0,41.7,26.7,Flood
49.0,24.6,53.5,11.9,Normal
5.0,22.1,85.2,59.7,Normal
102.2,29.5,100.0,83.5,Landslide
70.4,31.0,80.9,23.0,Landslide
57.3,31.1,68.6,72.6,Cyclone
104.1,31.3,63.5,148.1,Cyclone
40.7,21.3,55.7,114.6,Cyclone
5.3,23.6,100.0,81.1,Cyclone
105.5,36.9,67.2,13.3,Flood
33.3,24.8,100.0,13.1,Landslide
24.7,31.4,90.9,53.7,Landslide
5.7,26.3,43.9,34.7,Normal
99.5,29.3,60.0,4.7,Landslide
2.7,26.5,60.0,25.1,Normal
133.7,31.2,68.8,52.1,Landslide
44.0,29.5,69.1,30.7,Normal
102.8,27.2,100.0,34.8,Landslide
78.6,24.8,53.8,13.1,Flood
186.9,30.1,73.4,24.9,Flood
77.0,24.1,79.2,53.9,Landslide
130.3,30.7,70.0,23.9,Flood
36.5,39.5,71.7,76.5,Cyclone
12.4,34.4,54.3,35.4,Normal
113.9,31.9,71.6,46.8,Landslide
12.0,28.7,77.7,53.0,Normal
98.7,21.2,74.9,51.6,Landslide
22.0,23.7,78.6,15.4,Landslide
71.4,34.1,91.2,17.9,Landslide
189.2,25.8,84.1,4.6,Landslide
93.4,26.2,71.1,27.1,Flood
49.2,28.3,52.4,16.8,Normal
79.9,24.8,61.0,23.3,Normal
37.6,24.1,66.7,29.3,Normal
237.3,28.8,73.8,38.9,Flood
31.1,25.4,62.8,31.0,Normal
53.5,26.0,56.0,30.6,Normal
87.6,25.9,52.2,44.2,Normal
75.8,31.1,45.2,33.7,Normal
82.0,28.1,66.5,62.7,Landslide
38.3,28.3,48.0,33.8,Normal
